age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,1,39,75,40.4,18.1,7.8,0,0,0,0,0,0
12-15,2,62,18,52.3,19.8,6.2,0,1,0,0,0.3,0
16-19,6,453,39,181.2,104.6,27.5,0,0,1,0,0,0.7
20-29,11,774,80,100.9,68.9,49.1,0,1,0,0,0.1,0
30-39,29,512,82,170,48.7,67.1,1,1,0,5.9,0.1,0
40-49,42,542,67,176.6,55.2,73,0,0,1,0,0,1.1
50-59,48,600,63,128.2,76.8,134.2,0,6,2,0,0.8,4.3
60-69,184,1022,98,209.1,171.2,177.6,0,13,5,0,2.2,9.1
70-79,424,983,103,313.4,258.4,3779.8,6,31,6,4.4,8.1,220.2
80+,499,918,139,634.2,478.4,1845.2,6,30,10,7.6,15.6,132.7
