period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,129,236,21.15,38.69
3_Month,5-11,435,843,19.21,37.23
6_Month,5-11,1435,3909,12.67,34.5
1_Year,5-11,5243,48198,1.18,10.88
All,5-11,5382,53730,0.74,7.41
1_Month,12-15,194,99,35.66,18.2
3_Month,12-15,768,365,34.8,16.54
6_Month,12-15,1498,1134,22.49,17.03
1_Year,12-15,8717,15143,4.2,7.3
All,12-15,9730,19202,2.79,5.51
1_Month,16-19,796,86,50.73,5.48
3_Month,16-19,2104,258,46.6,5.71
6_Month,16-19,3561,670,34.31,6.46
1_Year,16-19,14669,7735,8.43,4.45
All,16-19,17020,11479,5.44,3.67
1_Month,20-29,1985,174,49.46,4.34
3_Month,20-29,5223,474,45.62,4.14
6_Month,20-29,9918,1526,31.7,4.88
1_Year,20-29,38162,15737,9.88,4.07
All,20-29,42929,22161,6.45,3.33
1_Month,30-39,1892,224,45.86,5.43
3_Month,30-39,5030,607,41.38,4.99
6_Month,30-39,10485,2000,28.73,5.48
1_Year,30-39,38570,16233,8.71,3.66
All,30-39,41813,20577,6.2,3.05
1_Month,40-49,2169,182,48.24,4.05
3_Month,40-49,6067,499,44.47,3.66
6_Month,40-49,11188,1603,29.41,4.21
1_Year,40-49,36068,12014,8.65,2.88
All,40-49,39202,15185,6.41,2.48
1_Month,50-59,1815,154,39.86,3.38
3_Month,50-59,4992,449,35.44,3.19
6_Month,50-59,8880,1112,23.27,2.91
1_Year,50-59,24820,6795,8.07,2.21
All,50-59,26650,8423,6.12,1.94
1_Month,60-69,1461,112,29.94,2.3
3_Month,60-69,4064,273,26.22,1.76
6_Month,60-69,7222,680,16.52,1.56
1_Year,60-69,16972,3676,6.84,1.48
All,60-69,18105,4463,5.46,1.35
1_Month,70-79,1031,60,21.68,1.26
3_Month,70-79,2759,144,18.12,0.95
6_Month,70-79,5011,331,11.77,0.78
1_Year,70-79,9636,1267,5.58,0.73
All,70-79,10115,1509,4.69,0.7
1_Month,80+,740,60,19.64,1.59
3_Month,80+,1917,165,17.71,1.52
6_Month,80+,3545,337,12.97,1.23
1_Year,80+,6362,870,6.97,0.95
All,80+,6640,1000,5.64,0.85
