instituteDesc,occupancy,gOccupancy,occupancyDate
Rabin K. Hasharon             ,59.6,66,2022-07-13T00:00:00.000Z
Barzilai Medical Center       ,60.4,86.8,2022-07-13T00:00:00.000Z
Poriah Hospital               ,66.7,71.3,2022-07-13T00:00:00.000Z
Bnei Ziom Medical Center      ,67.8,82.9,2022-07-13T00:00:00.000Z
Hacarmel Hospital             ,68.9,84.7,2022-07-13T00:00:00.000Z
Laniado                       ,70.5,83,2022-07-13T00:00:00.000Z
Soroka Medical Center         ,70.5,77.8,2022-07-13T00:00:00.000Z
Kaplan Hospital               ,76,88.9,2022-07-13T00:00:00.000Z
Assaf Harofeh Medical Center  ,78.4,77.1,2022-07-13T00:00:00.000Z
      Ziv Hospital            ,79.7,69.2,2022-07-13T00:00:00.000Z
Nahariya                      ,80,90.1,2022-07-13T00:00:00.000Z
Rambam                        ,83.3,90.2,2022-07-13T00:00:00.000Z
Woolfson Medical Center       ,84,76.4,2022-07-13T00:00:00.000Z
Shaare Zedek                  ,84.7,102.2,2022-07-13T00:00:00.000Z
Hadassah Mount Scopus         ,88.9,72.2,2022-07-13T00:00:00.000Z
Hillel Yaffeh Medical Center  ,93.8,90.5,2022-07-13T00:00:00.000Z
Hadassah Ein Kerem            ,97.1,93.5,2022-07-13T00:00:00.000Z
Assuta Ashdod                 ,101.7,105.1,2022-07-13T00:00:00.000Z
Rabin K. Beilinson            ,101.8,89.4,2022-07-13T00:00:00.000Z
Shmuel Harofe                 ,102.8,83.6,2022-07-13T00:00:00.000Z
