age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.2,17.7,0.1,0,13.8,77.3,8.9
12-15,65.6,54.6,14.9,0,22.8,43,34.3
16-19,89.3,78.2,45.9,0.2,23.2,22.5,54.3
20-29,85.6,77.1,54.7,0.8,21.6,13.4,65
30-39,88.9,82,59.7,2,23.9,10.6,65.5
40-49,90.5,84.7,67,3.4,24.4,9.1,66.5
50-59,91.2,86.5,73.3,7.1,24.2,6.8,69
60-69,93.1,90.3,80.8,33.9,28.5,7.8,63.8
70-79,92.1,90.6,87.3,54.4,32.1,4.3,63.6
80+,95.3,93.2,87.5,57.9,34.6,6.2,59.2
