age_group,vaccinated_first_dose,vaccinated_second_dose,vaccinated_third_dose,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,116144,4610,31,9.4,0.4,0,0.06,99.94,0
12-15,385079,307524,5154,60.5,48.4,0.8,58.55,41.43,0.02
16-19,519757,452313,214624,87.9,76.5,36.3,65,20.75,14.25
20-29,1115043,996321,666800,84.5,75.5,50.5,67.26,15.51,17.23
30-39,1063380,974733,673142,88.1,80.7,55.8,70.6,12.44,16.96
40-49,997852,927549,706162,89.8,83.5,63.6,76.6,10.39,13.01
50-59,792121,746335,613259,90.6,85.3,70.1,80.89,8.75,10.37
60-69,690246,664142,580990,92.4,88.9,77.8,85.76,7.57,6.67
70-79,477216,466898,439974,90.6,88.6,83.5,88.56,6.34,5.1
80-89,215924,210591,192499,90.4,88.2,80.6,85.51,7.28,7.21
90+,49159,47376,42207,83.8,80.7,71.9,76.09,11.04,12.87
