age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
12-15,92,0,817,27,0,321.4,0,0,1,0,0,0.4
16-19,107,164,380,31.4,169.3,303.8,0,0,0,0,0,0
20-29,196,404,631,24.6,165.5,285.8,0,2,8,0,0.8,3.6
30-39,297,489,684,37.8,223.2,428.5,0,0,16,0,0,10
40-49,275,317,502,34.3,203.2,407.8,2,2,44,0.2,1.3,35.7
50-59,136,140,291,20.1,144.3,345.3,7,5,57,1,5.2,67.6
60-69,111,107,188,17.8,203,312.3,12,3,53,1.9,5.7,88
70-79,90,57,139,19.9,200.3,344.1,14,8,29,3.1,28.1,71.8
80-89,70,24,73,35.4,136.3,367.4,5,4,13,2.5,22.7,65.4
90+,19,4,23,45.2,54.9,301.6,3,0,7,7.1,0,91.8
