age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.2,17.7,0.2,0,0.8,79.9,19.4
12-15,65.7,54.7,15,0,2,44.6,53.4
16-19,89.3,78.3,46,0.2,2,23,74.9
20-29,85.6,77.1,54.8,0.9,2.7,13.2,84.1
30-39,89,82,59.7,2.1,3.1,10.5,86.4
40-49,90.6,84.7,67.1,3.5,3.5,8.9,87.6
50-59,91.2,86.6,73.3,7.3,4.5,6.4,89
60-69,93.2,90.3,80.9,34.1,5.1,7.6,87.3
70-79,92.1,90.7,87.4,54.7,5.4,3.2,91.4
80+,95.3,93.3,87.5,58.1,4.7,5.8,89.5
