period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,291,793,12.15,33.1
3_Month,5-11,2688,9831,8.58,31.4
6_Month,5-11,3432,15146,4.26,18.81
1_Year,5-11,4699,51562,0.81,8.9
All,5-11,4699,52301,0.65,7.25
1_Month,12-15,183,195,16.09,17.15
3_Month,12-15,1738,2337,11.62,15.62
6_Month,12-15,2582,3772,6.57,9.59
1_Year,12-15,8665,17859,3.31,6.83
All,12-15,8682,18597,2.52,5.39
1_Month,16-19,436,112,25.07,6.44
3_Month,16-19,3298,1084,19.65,6.46
6_Month,16-19,4569,1699,11.83,4.4
1_Year,16-19,14480,10494,6.77,4.91
All,16-19,14612,11137,4.76,3.63
1_Month,20-29,1474,313,23.53,5
3_Month,20-29,10148,2779,19.2,5.26
6_Month,20-29,14287,4206,12.1,3.56
1_Year,20-29,36620,20349,7.83,4.35
All,20-29,36857,21534,5.66,3.31
1_Month,30-39,1640,432,22.07,5.81
3_Month,30-39,11555,3533,17.7,5.41
6_Month,30-39,15734,5107,11.09,3.6
1_Year,30-39,35520,18954,6.91,3.69
All,30-39,35737,19754,5.43,3
1_Month,40-49,1571,337,20.8,4.46
3_Month,40-49,10859,2700,16.52,4.11
6_Month,40-49,14402,3873,10.33,2.78
1_Year,40-49,31753,13962,6.76,2.97
All,40-49,31969,14484,5.39,2.44
1_Month,50-59,1203,186,16.12,2.49
3_Month,50-59,7713,1598,12.36,2.56
6_Month,50-59,10158,2307,8.39,1.91
1_Year,50-59,20610,7547,6.29,2.3
All,50-59,20753,7840,4.99,1.89
1_Month,60-69,982,134,11.13,1.52
3_Month,60-69,5819,899,8.58,1.33
6_Month,60-69,7408,1276,6.26,1.08
1_Year,60-69,13113,3965,5.2,1.57
All,60-69,13230,4111,4.27,1.33
1_Month,70-79,707,59,8.19,0.68
3_Month,70-79,3656,380,6.02,0.63
6_Month,70-79,4353,496,4.55,0.52
1_Year,70-79,6612,1252,4.04,0.76
All,70-79,6670,1323,3.45,0.68
1_Month,80+,607,62,10.8,1.1
3_Month,80+,2507,264,7.58,0.8
6_Month,80+,2920,343,5.99,0.7
1_Year,80+,4251,742,5.13,0.9
All,80+,4314,799,4.19,0.78
