period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,198,1057,3.12,16.67
3_Month,5-11,793,6982,1.15,10.14
6_Month,5-11,1928,40462,0.42,8.78
1_Year,5-11,1928,41915,0.33,7.15
All,5-11,1928,42128,0.28,6.12
1_Month,12-15,179,256,5.22,7.47
3_Month,12-15,1133,1862,3.43,5.64
6_Month,12-15,6867,14867,3.11,6.74
1_Year,12-15,6926,15880,2.66,6.09
All,12-15,6926,16109,2.11,4.9
1_Month,16-19,223,91,8.64,3.52
3_Month,16-19,1636,762,5.66,2.64
6_Month,16-19,11042,8765,6.17,4.9
1_Year,16-19,11222,9743,5.42,4.71
All,16-19,11233,10020,3.88,3.46
1_Month,20-29,679,213,8.38,2.63
3_Month,20-29,4904,1719,6.26,2.19
6_Month,20-29,26057,16131,6.98,4.32
1_Year,20-29,26482,18227,6,4.13
All,20-29,26509,18674,4.45,3.13
1_Month,30-39,812,264,7.04,2.29
3_Month,30-39,4961,1850,5.35,1.99
6_Month,30-39,23573,14315,5.82,3.54
1_Year,30-39,23936,15835,5.05,3.34
All,30-39,23982,16146,4.07,2.74
1_Month,40-49,682,185,6.02,1.63
3_Month,40-49,4222,1384,4.78,1.57
6_Month,40-49,20553,10566,5.52,2.84
1_Year,40-49,20849,11483,4.9,2.7
All,40-49,20894,11714,3.99,2.24
1_Month,50-59,488,104,4.93,1.05
3_Month,50-59,2838,811,4.19,1.2
6_Month,50-59,12667,5660,5.08,2.27
1_Year,50-59,12830,6042,4.6,2.17
All,50-59,12873,6202,3.67,1.77
1_Month,60-69,373,54,3.57,0.52
3_Month,60-69,1738,416,3.14,0.75
6_Month,60-69,7148,2964,4.11,1.7
1_Year,60-69,7250,3102,3.77,1.61
All,60-69,7276,3181,3.05,1.33
1_Month,70-79,192,25,2.31,0.3
3_Month,70-79,742,144,2.03,0.39
6_Month,70-79,2864,838,2.97,0.87
1_Year,70-79,2927,881,2.75,0.83
All,70-79,2945,928,2.27,0.72
1_Month,80+,138,22,3.42,0.54
3_Month,80+,454,84,2.73,0.5
6_Month,80+,1706,458,3.68,0.99
1_Year,80+,1753,480,3.35,0.92
All,80+,1777,525,2.58,0.76
