age_group,vaccinated_first_dose,vaccinated_second_dose,vaccinated_third_dose,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,235295,95462,39,19,7.7,0,8.24,91.76,0
12-15,402008,325095,39309,63.2,51.1,6.2,59.21,40.76,0.03
16-19,523437,455649,238028,88.5,77.1,40.3,66.8,20.41,12.79
20-29,1121692,1002858,688628,85,76,52.2,68.95,15.01,16.04
30-39,1068240,979587,692489,88.5,81.1,57.4,72.12,12.03,15.85
40-49,1001203,931378,720666,90.1,83.8,64.9,77.74,10.06,12.2
50-59,794050,748920,622344,90.8,85.6,71.2,81.78,8.4,9.82
60-69,691374,666025,586663,92.5,89.1,78.5,86.16,7.45,6.39
70-79,477766,467990,443542,90.7,88.8,84.2,89.12,5.96,4.91
80-89,216180,211012,193885,90.6,88.4,81.2,86.54,6.4,7.06
90+,49235,47477,42557,83.9,80.9,72.5,78.58,8.44,12.98
