age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,286047,192064,618088,46.3,31.1,41,0
16-19,472099,406245,583545,80.9,69.6,2742,0.5
20-29,1044414,947926,1300361,80.3,72.9,29111,2.2
30-39,1012443,938437,1197026,84.6,78.4,173597,14.5
40-49,961557,898616,1098556,87.5,81.8,334610,30.5
50-59,770713,726203,849966,90.7,85.4,411381,48.4
60-69,679304,651036,741639,91.6,87.8,484249,65.3
70-79,471883,459350,490784,96.1,93.6,392782,80
80-89,213602,207479,225538,94.7,92,171240,75.9
90+,48555,46683,51496,94.3,90.7,36412,70.7
