age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,2396,2,3226,822.1,,352.1,0,0,2,0,,0.2
12-15,1670,741,730,541.1,1175.2,294.6,1,0,0,0.3,0,0
16-19,3023,359,384,764.9,538.4,329,1,1,0,0.3,1.5,0
20-29,10382,740,951,1081,476.5,529.8,1,0,1,0.1,0,0.6
30-39,8304,787,1045,901.9,591.6,784.2,5,3,4,0.5,2.3,3
40-49,8259,494,798,921.9,506.9,776.4,5,3,6,0.6,3.1,5.8
50-59,6576,264,601,895,396.7,931.6,12,1,16,1.6,1.5,24.8
60-69,5831,201,520,894.4,526.2,987.2,37,6,15,5.7,15.7,28.5
70-79,4005,111,373,832.1,506.9,1778.3,49,4,21,10.2,18.3,100.1
80-89,1507,66,214,714.5,454,1941.7,42,9,15,19.9,61.9,136.1
90+,361,20,65,748.8,287.5,3129.5,9,5,10,18.7,71.9,481.5
