period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,298,2460,1.08,8.93
3_Month,5-11,1537,37432,0.36,8.74
6_Month,5-11,1538,37896,0.33,8.2
1_Year,5-11,1538,39161,0.27,6.93
All,5-11,1538,39274,0.23,5.9
1_Month,12-15,438,674,3.23,4.97
3_Month,12-15,6434,14005,3.11,6.77
6_Month,12-15,6479,14244,3.01,6.61
1_Year,12-15,6554,15153,2.61,6.04
All,12-15,6554,15298,2.06,4.81
1_Month,16-19,664,273,5.08,2.09
3_Month,16-19,10391,8391,6.17,4.98
6_Month,16-19,10441,8575,6.02,4.95
1_Year,16-19,10659,9375,5.38,4.74
All,16-19,10668,9638,3.81,3.44
1_Month,20-29,2103,552,6.04,1.59
3_Month,20-29,23932,15236,7.04,4.48
6_Month,20-29,24093,15639,6.86,4.45
1_Year,20-29,24584,17330,5.97,4.21
All,20-29,24604,17743,4.35,3.14
1_Month,30-39,1796,573,4.96,1.58
3_Month,30-39,21123,13287,5.85,3.68
6_Month,30-39,21301,13652,5.7,3.65
1_Year,30-39,21702,14833,4.99,3.41
All,30-39,21732,15109,3.96,2.75
1_Month,40-49,1521,407,4.37,1.17
3_Month,40-49,18505,9795,5.58,2.96
6_Month,40-49,18649,9996,5.47,2.93
1_Year,40-49,18974,10712,4.89,2.76
All,40-49,19007,10915,3.91,2.25
1_Month,50-59,1040,259,4.08,1.02
3_Month,50-59,11286,5220,5.22,2.42
6_Month,50-59,11346,5316,5.14,2.41
1_Year,50-59,11532,5598,4.66,2.26
All,50-59,11563,5746,3.63,1.8
1_Month,60-69,573,132,3.13,0.72
3_Month,60-69,6176,2732,4.32,1.91
6_Month,60-69,6217,2766,4.26,1.9
1_Year,60-69,6332,2867,3.89,1.76
All,60-69,6353,2938,3.05,1.41
1_Month,70-79,194,35,1.74,0.31
3_Month,70-79,2398,756,3.21,1.01
6_Month,70-79,2420,763,3.18,1
1_Year,70-79,2487,799,2.92,0.94
All,70-79,2500,840,2.31,0.78
1_Month,80-89,85,16,2.23,0.42
3_Month,80-89,1050,325,3.67,1.14
6_Month,80-89,1054,332,3.6,1.13
1_Year,80-89,1091,340,3.24,1.01
All,80-89,1104,370,2.41,0.81
1_Month,90+,28,5,3.41,0.61
3_Month,90+,373,83,5.03,1.12
6_Month,90+,374,83,4.94,1.1
1_Year,90+,391,87,4.45,0.99
All,90+,398,98,3.11,0.77
