period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,1609,5911,8.96,32.93
3_Month,5-11,2564,9903,7.45,28.76
6_Month,5-11,3871,34740,1.25,11.22
1_Year,5-11,4330,50831,0.71,8.31
All,5-11,4330,51191,0.6,7.13
1_Month,12-15,930,1244,13.26,17.73
3_Month,12-15,1723,2382,10.11,13.97
6_Month,12-15,5508,9407,4,6.84
1_Year,12-15,8469,17965,3.1,6.58
All,12-15,8470,18323,2.47,5.33
1_Month,16-19,2012,652,21.31,6.91
3_Month,16-19,2980,1031,17.46,6.04
6_Month,16-19,8465,4032,7.42,3.54
1_Year,16-19,14016,10685,6.33,4.83
All,16-19,14048,10984,4.61,3.6
1_Month,20-29,6091,1700,20.85,5.82
3_Month,20-29,8887,2570,17.03,4.93
6_Month,20-29,22688,8595,8.72,3.3
1_Year,20-29,34835,20594,7.17,4.24
All,20-29,34892,21094,5.43,3.28
1_Month,30-39,7028,2123,19.24,5.81
3_Month,30-39,10103,3221,15.43,4.92
6_Month,30-39,23829,9750,7.63,3.12
1_Year,30-39,33431,18823,6.31,3.55
All,30-39,33513,19172,5.17,2.96
1_Month,40-49,6449,1617,17.99,4.51
3_Month,40-49,9507,2438,14.33,3.68
6_Month,40-49,21077,7163,7.16,2.43
1_Year,40-49,29821,13772,6.19,2.86
All,40-49,29916,14029,5.13,2.41
1_Month,50-59,4481,981,13.28,2.91
3_Month,50-59,6627,1447,10.69,2.33
6_Month,50-59,13969,4024,6.4,1.84
1_Year,50-59,19104,7408,5.74,2.23
All,50-59,19166,7586,4.72,1.87
1_Month,60-69,3374,547,9.26,1.5
3_Month,60-69,4910,789,7.4,1.19
6_Month,60-69,8873,2125,5.08,1.22
1_Year,60-69,11883,3838,4.75,1.53
All,60-69,11933,3936,4,1.32
1_Month,70-79,2002,244,6.29,0.77
3_Month,70-79,2969,335,5.1,0.58
6_Month,70-79,4500,745,3.78,0.63
1_Year,70-79,5751,1200,3.63,0.76
All,70-79,5775,1251,3.17,0.69
1_Month,80+,1351,134,7.59,0.75
3_Month,80+,1847,199,6.21,0.67
6_Month,80+,2719,446,4.57,0.75
1_Year,80+,3493,665,4.42,0.84
All,80+,3525,711,3.68,0.74
