period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,87,166,15.13,28.87
3_Month,5-11,767,2251,11.54,33.86
6_Month,5-11,3223,11732,7.94,28.9
1_Year,5-11,4958,51243,0.99,10.19
All,5-11,4958,52902,0.69,7.31
1_Month,12-15,104,89,19.37,16.57
3_Month,12-15,596,613,16.76,17.24
6_Month,12-15,2248,2906,10.91,14.11
1_Year,12-15,8916,17557,3.72,7.33
All,12-15,8971,18844,2.59,5.44
1_Month,16-19,177,38,28.32,6.08
3_Month,16-19,1112,308,25.06,6.94
6_Month,16-19,3909,1280,18.56,6.08
1_Year,16-19,14740,9986,7.43,5.03
All,16-19,14946,11224,4.85,3.64
1_Month,20-29,502,81,27.06,4.37
3_Month,20-29,3680,805,24.28,5.31
6_Month,20-29,11906,3203,18.11,4.87
1_Year,20-29,37336,19192,8.61,4.43
All,20-29,37809,21698,5.78,3.32
1_Month,30-39,562,108,23.69,4.55
3_Month,30-39,4262,1029,22.81,5.51
6_Month,30-39,13619,4075,16.43,4.92
1_Year,30-39,36461,18211,7.6,3.8
All,30-39,36883,19986,5.57,3.02
1_Month,40-49,649,106,24.61,4.02
3_Month,40-49,4065,825,21.45,4.35
6_Month,40-49,12964,3148,15.41,3.74
1_Year,40-49,32889,13573,7.34,3.03
All,40-49,33260,14702,5.56,2.46
1_Month,50-59,567,69,19.02,2.31
3_Month,50-59,3156,504,16.61,2.65
6_Month,50-59,9310,1866,11.69,2.34
1_Year,50-59,21544,7445,6.71,2.32
All,50-59,21772,7983,5.16,1.89
1_Month,60-69,550,41,13.89,1.04
3_Month,60-69,2629,318,11.68,1.41
6_Month,60-69,7185,1054,8.23,1.21
1_Year,60-69,13997,3972,5.54,1.57
All,60-69,14156,4193,4.47,1.32
1_Month,70-79,460,29,9.8,0.62
3_Month,70-79,1900,151,8.44,0.67
6_Month,70-79,4651,459,5.9,0.58
1_Year,70-79,7331,1279,4.35,0.76
All,70-79,7419,1371,3.69,0.68
1_Month,80+,269,23,10.35,0.88
3_Month,80+,1431,144,10.44,1.05
6_Month,80+,3119,325,7.41,0.77
1_Year,80+,4697,768,5.53,0.9
All,80+,4776,835,4.45,0.78
