age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25,17.5,0,0,24.27,75.73,0
12-15,65.5,54.4,14.2,0,53.38,39.65,6.97
16-19,89.3,78,45.5,0.1,69.54,20.02,10.44
20-29,85.6,76.9,54.3,0.6,74.19,13.96,11.85
30-39,89,81.9,59.4,1.5,77.52,11.29,11.2
40-49,90.6,84.5,66.7,2.5,81.7,9.43,8.87
50-59,91.1,86.3,72.8,5.1,84.74,7.62,7.64
60-69,92.8,89.8,80.2,30.1,87.73,7.14,5.13
70-79,90.9,89.4,85.9,48.7,91.41,4.43,4.16
80-89,90.8,89,83.4,51,88.93,4.92,6.15
90+,84.4,81.7,76,49,83.37,4.55,12.09
