age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,347227,272698,635971,54.6,42.9,390,0.1
16-19,502098,434606,591331,84.9,73.5,155550,26.3
20-29,1080509,971565,1319364,81.9,73.6,517048,39.2
30-39,1040356,957218,1207243,86.2,79.3,556731,46.1
40-49,982114,914578,1110965,88.4,82.3,628609,56.6
50-59,782654,737603,874608,89.5,84.3,567096,64.8
60-69,684956,658389,747217,91.7,88.1,556507,74.5
70-79,474483,463492,526929,90,88,426603,81
80-89,214757,209040,238729,90,87.6,186022,77.9
90+,48831,47019,58687,83.2,80.1,40162,68.4
