age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,24.9,17.3,0,0,23.84,76.15,0
12-15,65.4,54.3,14,0,54.8,39.38,5.82
16-19,89.3,78,45.4,0.1,69.76,19.9,10.35
20-29,85.6,76.7,54.1,0.5,73.71,14.12,12.17
30-39,89,81.8,59.2,1.3,76.89,11.39,11.72
40-49,90.5,84.4,66.5,2.1,81.23,9.55,9.22
50-59,91.1,86.2,72.7,4.2,84.36,7.8,7.84
60-69,92.7,89.7,80.1,29.1,87.52,7.2,5.27
70-79,90.9,89.3,85.8,47.5,90.85,4.89,4.26
80-89,90.8,89,83.3,49.7,88.4,5.33,6.27
90+,84.4,81.7,75.7,47.7,82.19,5.62,12.19
