age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,0,31,86,0,14.3,9,0,0,0,0,0,0
12-15,2,77,25,45.5,24.5,8.7,0,1,0,0,0.3,0
16-19,5,517,60,142.5,119.3,42.5,0,1,1,0,0.2,0.7
20-29,10,970,96,90.2,86.4,58.8,0,0,0,0,0,0
30-39,28,684,118,164.9,65,96.3,1,1,1,5.9,0.1,0.8
40-49,42,775,89,176.6,78.9,96.7,0,0,1,0,0,1.1
50-59,67,785,69,181.2,100.5,144.8,0,7,2,0,0.9,4.2
60-69,239,1397,120,278.2,233.2,217,1,11,5,1.2,1.8,9
70-79,511,1307,116,389.1,340.9,3051.8,1,37,6,0.8,9.7,157.9
80+,588,1195,162,765.8,618.9,1964.1,7,39,9,9.1,20.2,109.1
