period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,148,278,20,37.57
3_Month,5-11,404,807,18.27,36.5
6_Month,5-11,2116,6399,11.22,33.92
1_Year,5-11,5319,51404,1.1,10.66
All,5-11,5335,53662,0.74,7.4
1_Month,12-15,280,137,37.33,18.27
3_Month,12-15,721,348,33.82,16.32
6_Month,12-15,1799,1611,19.78,17.71
1_Year,12-15,9484,17572,4.06,7.52
All,12-15,9668,19174,2.77,5.5
1_Month,16-19,940,114,48.76,5.91
3_Month,16-19,1937,245,45.53,5.76
6_Month,16-19,4136,886,30.94,6.63
1_Year,16-19,16445,10027,8.3,5.06
All,16-19,16815,11456,5.38,3.67
1_Month,20-29,2253,209,47.93,4.45
3_Month,20-29,4800,452,44.34,4.18
6_Month,20-29,11748,2179,28.27,5.24
1_Year,20-29,41498,19238,9.55,4.43
All,20-29,42376,22116,6.38,3.33
1_Month,30-39,2201,274,44.38,5.52
3_Month,30-39,4676,589,39.68,5
6_Month,30-39,12841,2800,25.72,5.61
1_Year,30-39,40563,18426,8.44,3.84
All,30-39,41323,20520,6.14,3.05
1_Month,40-49,2567,209,47.7,3.88
3_Month,40-49,5644,478,42.72,3.62
6_Month,40-49,13073,2222,25.7,4.37
1_Year,40-49,37928,13798,8.4,3.06
All,40-49,38606,15139,6.33,2.48
1_Month,50-59,2145,186,38.82,3.37
3_Month,50-59,4699,437,34.01,3.16
6_Month,50-59,10212,1465,20.33,2.92
1_Year,50-59,25779,7752,7.84,2.36
All,50-59,26190,8388,6.03,1.93
1_Month,60-69,1781,114,30.19,1.93
3_Month,60-69,3896,258,25.09,1.66
6_Month,60-69,8210,883,14.52,1.56
1_Year,60-69,17516,4173,6.66,1.59
All,60-69,17782,4433,5.38,1.34
1_Month,70-79,1200,65,20.9,1.13
3_Month,70-79,2658,142,17.06,0.91
6_Month,70-79,5551,427,10.35,0.8
1_Year,70-79,9741,1397,5.41,0.78
All,70-79,9870,1498,4.6,0.7
1_Month,80+,816,68,18.81,1.57
3_Month,80+,1785,154,16.8,1.45
6_Month,80+,3896,372,11.68,1.11
1_Year,80+,6338,914,6.76,0.97
All,80+,6429,986,5.51,0.84
