age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,10655,11,54126,4475.8,,5940.6,0,0,0,0,,0
12-15,19790,644,12970,5565.3,4453.4,5374.4,1,0,3,0.3,0,1.2
16-19,18700,3543,6029,4662.7,5895.6,5260.7,2,0,2,0.5,0,1.7
20-29,38330,9030,10827,4103.7,5257,5865.6,4,2,10,0.4,1.2,5.4
30-39,43819,10162,11510,4915.1,6535.5,8483.4,10,3,11,1.1,1.9,8.1
40-49,43228,6491,8371,4933.4,5807.5,7953.7,9,3,21,1,2.7,20
50-59,29188,3297,4635,4040.9,4500.1,6756.4,33,15,39,4.6,20.5,56.8
60-69,22332,1973,3123,3456.1,4705.1,5811.6,77,17,51,11.9,40.5,94.9
70-79,12492,849,1585,2642.5,3635.5,5745.3,139,28,90,29.4,119.9,326.2
80-89,5896,385,856,2843,2513.5,6409.1,171,24,98,82.5,156.7,733.8
90+,1893,107,307,4086.1,1514.5,8299.5,53,8,43,114.4,113.2,1162.5
