age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,24.7,15.9,0,0,20.68,79.31,0
12-15,65.4,53.8,13.6,0,58.14,39.48,2.38
16-19,89.2,77.8,45,0,69.62,19.91,10.47
20-29,85.5,76.6,53.9,0.3,72.35,14.31,13.35
30-39,88.9,81.6,59,0.8,75.34,11.47,13.19
40-49,90.5,84.3,66.3,1.3,80.12,9.63,10.25
50-59,91,86.1,72.5,2.3,83.57,7.94,8.5
60-69,92.7,89.6,79.9,27.3,87.1,7.24,5.66
70-79,90.8,89.3,85.6,45,90.27,5.27,4.46
80-89,90.8,88.9,83.1,46.9,87.85,5.66,6.49
90+,84.3,81.5,75.5,44.6,81.14,6.48,12.39
