age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.1,17.7,0.1,0,14.7,77.3,8.1
12-15,65.6,54.6,14.8,0,24.7,42.9,32.4
16-19,89.3,78.2,45.9,0.2,24.7,22.5,52.8
20-29,85.6,77,54.7,0.8,22.7,13.4,63.8
30-39,88.9,82,59.7,2,25.3,10.6,64.1
40-49,90.5,84.7,67,3.4,26,9.1,65
50-59,91.2,86.5,73.3,7.1,25.8,6.8,67.3
60-69,93.1,90.3,80.8,33.8,36.3,7.8,55.9
70-79,92.1,90.6,87.3,54.4,44.1,4.3,51.5
80+,95.3,93.2,87.5,57.9,47.3,6.2,46.5
