period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,1760,6571,8.41,31.4
3_Month,5-11,2179,8598,6.58,25.98
6_Month,5-11,3777,45268,0.85,10.18
1_Year,5-11,3870,49185,0.63,8.07
All,5-11,3870,49500,0.54,6.94
1_Month,12-15,1138,1579,11.46,15.9
3_Month,12-15,1509,2146,8.95,12.73
6_Month,12-15,7481,14885,3.58,7.12
1_Year,12-15,8198,17639,3.01,6.48
All,12-15,8198,17981,2.4,5.26
1_Month,16-19,1918,673,18.67,6.55
3_Month,16-19,2433,883,15.43,5.6
6_Month,16-19,11639,7857,6.8,4.59
1_Year,16-19,13351,10493,6.09,4.79
All,16-19,13370,10779,4.43,3.57
1_Month,20-29,5488,1654,18.26,5.5
3_Month,20-29,7016,2146,14.72,4.5
6_Month,20-29,29188,15427,7.9,4.17
1_Year,20-29,32618,20064,6.83,4.2
All,20-29,32657,20539,5.16,3.25
1_Month,30-39,6258,2071,16.57,5.48
3_Month,30-39,7980,2660,12.91,4.3
6_Month,30-39,28601,14993,6.84,3.59
1_Year,30-39,30834,18142,5.93,3.49
All,30-39,30899,18473,4.86,2.91
1_Month,40-49,6039,1554,15.73,4.05
3_Month,40-49,7680,2020,12.25,3.22
6_Month,40-49,25436,10980,6.53,2.82
1_Year,40-49,27593,13227,5.84,2.8
All,40-49,27675,13472,4.84,2.36
1_Month,50-59,4127,933,11.5,2.6
3_Month,50-59,5306,1195,9.16,2.06
6_Month,50-59,16228,6020,5.89,2.18
1_Year,50-59,17492,7087,5.42,2.19
All,50-59,17547,7257,4.44,1.84
1_Month,60-69,2968,509,7.89,1.35
3_Month,60-69,3863,656,6.34,1.08
6_Month,60-69,9897,3185,4.74,1.53
1_Year,60-69,10616,3665,4.44,1.53
All,60-69,10656,3756,3.73,1.31
1_Month,70-79,1753,208,5.33,0.63
3_Month,70-79,2270,268,4.33,0.51
6_Month,70-79,4622,986,3.51,0.75
1_Year,70-79,4944,1112,3.34,0.75
All,70-79,4966,1163,2.9,0.68
1_Month,80+,1094,108,6.51,0.64
3_Month,80+,1383,154,5.36,0.6
6_Month,80+,2789,544,4.34,0.85
1_Year,80+,2954,605,4.06,0.83
All,80+,2986,651,3.35,0.73
