age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25,17.4,0,0,24.26,75.74,0
12-15,65.5,54.3,14.2,0,54.4,39.46,6.14
16-19,89.3,78,45.5,0.1,69.86,19.94,10.2
20-29,85.6,76.8,54.3,0.6,74.11,14.03,11.86
30-39,89,81.9,59.3,1.4,77.41,11.33,11.26
40-49,90.5,84.5,66.6,2.4,81.62,9.48,8.9
50-59,91.1,86.2,72.8,4.9,84.63,7.71,7.66
60-69,92.7,89.7,80.1,30,87.69,7.15,5.16
70-79,90.9,89.4,85.9,48.6,91.18,4.65,4.17
80-89,90.8,89,83.4,50.8,88.71,5.11,6.18
90+,84.4,81.7,75.9,48.8,82.79,5.11,12.1
