age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,13476,10,43488,4978.8,,4775.2,0,0,5,0,,0.5
12-15,14738,1658,9287,4356.7,4803.6,3832.9,1,0,3,0.3,0,1.2
16-19,14089,2442,4331,3508.5,4011.2,3776.1,2,0,2,0.5,0,1.7
20-29,26094,5533,7385,2755.4,3418.7,4019.4,4,1,7,0.4,0.6,3.8
30-39,33049,6443,8170,3653.1,4459.8,6029,7,3,13,0.8,2.1,9.6
40-49,32194,4068,6184,3638.1,3889.8,5879.4,13,4,20,1.5,3.8,19
50-59,21000,2177,3520,2887.7,3125.4,5164,50,16,52,6.9,23,76.3
60-69,17653,1583,2695,2722.8,3934.8,5023.2,116,30,82,17.9,74.6,152.8
70-79,10596,769,1551,2233.6,3373.4,5819.5,150,31,121,31.6,136,454
80-89,5249,354,909,2521.7,2355.3,7016.6,167,37,148,80.2,246.2,1142.4
90+,1723,106,338,3692.1,1512.1,9799.9,58,11,54,124.3,156.9,1565.7
