age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,0,38,104,0,17.5,10.9,0,0,0,0,0,0
12-15,3,82,29,65.9,26,10.1,0,0,0,0,0,0
16-19,5,490,63,139.9,113,44.8,0,1,1,0,0.2,0.7
20-29,7,996,118,62.7,88.7,72.3,0,0,0,0,0,0
30-39,32,780,121,188.2,74.1,99.1,0,1,1,0,0.1,0.8
40-49,45,893,109,188.7,90.9,118.1,0,0,1,0,0,1.1
50-59,82,899,87,221.8,115.1,183.2,0,9,2,0,1.2,4.2
60-69,267,1517,124,311.6,252.6,229.8,0,18,6,0,3,11.1
70-79,512,1426,121,392,370.2,4620.1,4,39,5,3.1,10.1,190.9
80+,594,1243,168,784,654.3,1351.8,5,46,7,6.6,24.2,56.3
