period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,220,502,14.86,33.92
3_Month,5-11,1622,5195,10.44,33.43
6_Month,5-11,3304,12466,6.94,26.18
1_Year,5-11,4937,51318,0.96,10.03
All,5-11,4937,52860,0.68,7.31
1_Month,12-15,238,207,19.82,17.24
3_Month,12-15,1023,1187,15.45,17.93
6_Month,12-15,2327,3092,9.89,13.14
1_Year,12-15,8896,17604,3.68,7.29
All,12-15,8949,18829,2.58,5.44
1_Month,16-19,226,64,26.04,7.37
3_Month,16-19,2103,604,24.31,6.98
6_Month,16-19,4028,1373,17.12,5.84
1_Year,16-19,14684,10038,7.35,5.03
All,16-19,14883,11212,4.83,3.64
1_Month,20-29,595,109,25.71,4.71
3_Month,20-29,6662,1630,22.73,5.56
6_Month,20-29,12297,3465,16.5,4.65
1_Year,20-29,37152,19317,8.52,4.43
All,20-29,37605,21671,5.75,3.31
1_Month,30-39,773,155,24.6,4.93
3_Month,30-39,7873,2107,21.53,5.76
6_Month,30-39,14188,4349,14.77,4.53
1_Year,30-39,36269,18270,7.52,3.79
All,30-39,36670,19946,5.54,3.01
1_Month,40-49,841,161,23.74,4.55
3_Month,40-49,7175,1671,19.84,4.62
6_Month,40-49,13345,3376,13.86,3.51
1_Year,40-49,32642,13603,7.26,3.03
All,40-49,33001,14668,5.53,2.46
1_Month,50-59,651,92,17.63,2.49
3_Month,50-59,5354,1000,15.24,2.85
6_Month,50-59,9556,1992,10.66,2.22
1_Year,50-59,21312,7450,6.64,2.32
All,50-59,21531,7957,5.12,1.89
1_Month,60-69,576,52,12.82,1.16
3_Month,60-69,4219,607,10.61,1.53
6_Month,60-69,7275,1141,7.55,1.18
1_Year,60-69,13762,3969,5.47,1.58
All,60-69,13917,4180,4.42,1.33
1_Month,70-79,475,27,9.24,0.53
3_Month,70-79,2851,280,7.67,0.75
6_Month,70-79,4626,486,5.46,0.57
1_Year,70-79,7156,1269,4.29,0.76
All,70-79,7240,1360,3.63,0.68
1_Month,80+,284,29,10.27,1.05
3_Month,80+,2080,219,9.32,0.98
6_Month,80+,3102,344,6.91,0.77
1_Year,80+,4587,766,5.45,0.91
All,80+,4665,832,4.39,0.78
