age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,8,47,110,137.1,20.9,11.7,0,0,0,0,0,0
12-15,6,71,38,97.6,21.8,13.7,0,0,0,0,0,0
16-19,11,204,32,282.6,46.4,23.6,0,0,0,0,0,0
20-29,17,525,57,148.9,47,33.8,0,0,1,0,0,0.6
30-39,22,514,79,195.7,48.7,63.5,0,0,0,0,0,0
40-49,22,572,70,161,57.9,72.9,0,1,0,0,0.1,0
50-59,32,642,51,179.9,80.8,95.4,0,2,4,0,0.3,7.5
60-69,76,1235,73,332.4,186.6,131.3,0,9,3,0,1.4,5.4
70-79,94,1573,68,514.1,322.6,536.1,2,17,4,10.9,3.5,31.5
80+,43,1068,71,519.3,419.4,464.6,2,21,4,24.2,8.2,26.2
