period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,451,7798,0.53,9.24
6_Month,5-11,1352,36856,0.28,7.61
1_Year,5-11,1352,37697,0.24,6.8
All,5-11,1352,37789,0.21,5.83
3_Month,5-11,1352,36070,0.32,8.67
All,12-15,6260,14857,2.03,4.81
1_Year,12-15,6260,14726,2.55,6
6_Month,12-15,6205,14013,2.85,6.43
3_Month,12-15,6162,13637,3.09,6.83
1_Month,12-15,1162,2020,3.22,5.6
All,16-19,10216,9454,3.77,3.48
1_Year,16-19,10207,9200,5.35,4.82
6_Month,16-19,10028,8618,5.84,5.02
3_Month,16-19,9965,8242,6.22,5.14
1_Month,16-19,1487,669,5.52,2.48
1_Month,20-29,3443,1332,6.55,2.54
All,20-29,23034,17361,4.27,3.22
1_Year,20-29,23022,16986,5.9,4.35
6_Month,20-29,22652,15872,6.62,4.64
3_Month,20-29,22432,14928,7.1,4.72
1_Month,30-39,3674,1508,5.37,2.2
6_Month,30-39,20148,13698,5.5,3.74
1_Year,30-39,20440,14472,4.95,3.5
All,30-39,20452,14713,3.91,2.81
3_Month,30-39,19936,12960,5.91,3.84
All,40-49,17917,10621,3.89,2.31
1_Month,40-49,3123,1052,4.86,1.64
3_Month,40-49,17485,9537,5.68,3.1
6_Month,40-49,17643,9982,5.38,3.04
1_Year,40-49,17901,10437,4.89,2.85
All,50-59,10849,5551,3.62,1.85
6_Month,50-59,10685,5238,5.15,2.52
3_Month,50-59,10597,5043,5.34,2.54
1_Month,50-59,1979,559,4.76,1.35
1_Year,50-59,10837,5411,4.7,2.35
1_Month,60-69,1021,281,3.72,1.02
All,60-69,5933,2843,3.04,1.46
3_Month,60-69,5780,2646,4.44,2.03
6_Month,60-69,5822,2704,4.3,2
1_Year,60-69,5923,2778,3.94,1.85
1_Year,70-79,2348,784,3.03,1.01
3_Month,70-79,2265,736,3.4,1.11
1_Month,70-79,360,110,2.4,0.73
All,70-79,2356,820,2.36,0.82
6_Month,70-79,2291,755,3.32,1.09
1_Month,80-89,182,53,3.01,0.88
3_Month,80-89,999,314,3.85,1.21
6_Month,80-89,1008,322,3.71,1.18
1_Year,80-89,1041,330,3.34,1.06
All,80-89,1052,359,2.45,0.84
All,90+,374,95,3.06,0.78
1_Year,90+,371,84,4.47,1.01
6_Month,90+,353,80,4.88,1.11
3_Month,90+,349,80,5.07,1.16
1_Month,90+,50,12,3.22,0.77
