age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,1676,1,2969,572.4,,324.9,0,0,4,0,,0.4
12-15,1207,346,577,366.5,780.4,234.8,2,0,0,0.6,0,0
16-19,1738,269,407,432.3,442.8,351.4,1,0,1,0.2,0,0.9
20-29,3805,473,813,396,308.1,450,1,0,2,0.1,0,1.1
30-39,5234,644,1047,569,484.7,781.6,5,1,6,0.5,0.8,4.5
40-49,4886,451,784,545.7,463.9,758.6,9,6,9,1,6.2,8.7
50-59,3588,269,577,489,406.6,876.1,22,6,24,3,9.1,36.4
60-69,3743,246,592,574.4,645.5,1115.9,51,8,23,7.8,21,43.4
70-79,2636,146,443,550,669.4,1919.9,59,10,42,12.3,45.9,182
80-89,1481,113,354,704.3,777.2,3049.9,44,12,40,20.9,82.5,344.6
90+,546,37,141,1143.5,534.8,5501.4,16,5,10,33.5,72.3,390.2
