age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,362334,296729,635971,57,46.7,522,0.1
16-19,514493,446347,591331,87,75.5,194978,33
20-29,1104525,985631,1319364,83.7,74.7,630140,47.8
30-39,1056103,967495,1207243,87.5,80.1,641482,53.1
40-49,993001,922157,1110965,89.4,83,685526,61.7
50-59,789218,742603,874608,90.2,84.9,600957,68.7
60-69,688479,661745,747217,92.1,88.6,574100,76.8
70-79,476278,465559,526929,90.4,88.4,436069,82.8
80-89,215566,209970,238729,90.3,88,190796,79.9
90+,49043,47232,58687,83.6,80.5,41686,71
