age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
12-15,53,0,389,15.1,0,153.7,0,0,0,0,0,0
16-19,35,62,159,9.9,67.4,130.6,0,0,0,0,0,0
20-29,84,160,367,10.1,67.6,173.9,0,1,4,0,0.4,1.9
30-39,141,186,368,17.5,87.4,238.7,0,0,11,0,0,7.1
40-49,137,138,304,16.8,91.2,256,1,0,27,0.1,0,22.7
50-59,59,57,171,8.6,60.5,211.6,1,2,31,0.1,2.1,38.4
60-69,57,40,103,9,77.7,176.2,5,3,30,0.8,5.8,51.3
70-79,52,20,67,11.4,72.2,176.3,8,1,14,1.8,3.6,36.8
80-89,35,11,43,17.6,63.4,227.7,2,0,8,1,0,42.4
90+,4,3,7,9.4,41,97.1,0,0,4,0,0,55.5
