period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,1376,5386,7.8,30.55
3_Month,5-11,1779,7522,5.52,23.35
6_Month,5-11,3400,45546,0.74,9.86
1_Year,5-11,3424,47727,0.57,7.88
All,5-11,3424,48016,0.48,6.77
1_Month,12-15,995,1403,10.63,14.99
3_Month,12-15,1353,1957,8.02,11.6
6_Month,12-15,7746,15971,3.48,7.17
1_Year,12-15,7987,17361,2.95,6.41
All,12-15,7987,17693,2.35,5.2
1_Month,16-19,1535,569,16.93,6.28
3_Month,16-19,2035,780,13.58,5.21
6_Month,16-19,12399,9054,6.74,4.92
1_Year,16-19,12869,10347,5.93,4.77
All,16-19,12886,10632,4.3,3.55
1_Month,20-29,4374,1342,16.77,5.14
3_Month,20-29,5880,1895,12.93,4.17
6_Month,20-29,30087,17039,7.68,4.35
1_Year,20-29,31191,19675,6.62,4.18
All,20-29,31230,20138,4.99,3.22
1_Month,30-39,4871,1679,15,5.17
3_Month,30-39,6656,2310,11.11,3.86
6_Month,30-39,28280,15718,6.56,3.65
1_Year,30-39,29148,17628,5.7,3.45
All,30-39,29209,17957,4.66,2.86
1_Month,40-49,4909,1269,14.61,3.78
3_Month,40-49,6469,1770,10.68,2.92
6_Month,40-49,25300,11626,6.31,2.9
1_Year,40-49,26098,12852,5.62,2.77
All,40-49,26174,13094,4.65,2.33
1_Month,50-59,3315,762,10.57,2.43
3_Month,50-59,4472,1034,8.12,1.88
6_Month,50-59,15962,6336,5.7,2.26
1_Year,50-59,16421,6854,5.21,2.17
All,50-59,16475,7021,4.26,1.81
1_Month,60-69,2389,388,7.23,1.17
3_Month,60-69,3240,556,5.64,0.97
6_Month,60-69,9600,3320,4.6,1.59
1_Year,60-69,9859,3521,4.27,1.52
All,60-69,9896,3612,3.57,1.3
1_Month,70-79,1435,147,4.94,0.51
3_Month,70-79,1892,213,3.91,0.44
6_Month,70-79,4365,991,3.39,0.77
1_Year,70-79,4492,1044,3.2,0.74
All,70-79,4512,1095,2.75,0.67
1_Month,80+,844,81,5.99,0.58
3_Month,80+,1112,128,4.78,0.55
6_Month,80+,2576,542,4.17,0.88
1_Year,80+,2650,571,3.86,0.83
All,80+,2682,616,3.16,0.72
