age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.1,17.7,0.1,0,17.6,77.1,5.3
12-15,65.6,54.6,14.8,0,29.9,42.7,27.4
16-19,89.3,78.2,45.9,0.2,28.3,22.4,49.3
20-29,85.6,77,54.7,0.8,25.3,13.4,61.2
30-39,88.9,81.9,59.7,2,28.6,10.6,60.8
40-49,90.5,84.7,67,3.4,29.5,9.1,61.4
50-59,91.2,86.5,73.3,7,29.3,6.9,63.8
60-69,93.1,90.2,80.8,33.7,48.5,7.8,43.7
70-79,92,90.6,87.3,54.2,63.6,4.5,31.9
80+,95.3,93.2,87.5,57.8,63.9,6.3,29.8
