age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,810,361,2648,385.7,551.3,285,0,0,1,0,0,0.1
12-15,385,543,521,210.1,315.4,196.3,0,0,0,0,0,0
16-19,173,1412,260,106.2,488.2,199.1,0,0,0,0,0,0
20-29,351,4664,806,107.7,580.7,460.1,0,0,3,0,0,1.7
30-39,590,5518,951,175.5,752.4,747.6,1,3,1,0.3,0.4,0.8
40-49,725,5545,723,226.4,813.6,720.8,1,9,0,0.3,1.3,0
50-59,1124,5035,543,448.7,902.9,907.6,4,12,5,1.6,2.2,8.4
60-69,5180,4710,597,1448.4,1446.2,1028.6,24,17,4,6.7,5.2,6.9
70-79,6963,2798,441,2114.4,1681.7,1891.3,45,39,12,13.7,23.4,51.5
80+,4506,1334,412,2535.8,1601.7,2356.3,83,50,22,46.7,60,125.8
