instituteDesc,occupancy,gOccupancy,occupancyDate
Rabin K. Hasharon             ,54.4,64.7,2022-07-05T00:00:00.000Z
Hacarmel Hospital             ,61.3,78.9,2022-07-05T00:00:00.000Z
Poriah Hospital               ,70.5,79.2,2022-07-05T00:00:00.000Z
Haemek Valley Center Hospital ,74.8,76.2,2022-07-05T00:00:00.000Z
Laniado                       ,74.4,85,2022-07-05T00:00:00.000Z
Bnei Ziom Medical Center      ,75.2,88.2,2022-07-05T00:00:00.000Z
Meir Hospital                 ,76,90.4,2022-07-05T00:00:00.000Z
Soroka Medical Center         ,78.7,84.7,2022-07-05T00:00:00.000Z
Shaare Zedek                  ,79.3,106,2022-07-05T00:00:00.000Z
Yosephtal Hospital            ,81.3,41.5,2022-07-05T00:00:00.000Z
Hadassah Mount Scopus         ,83.3,76.4,2022-07-05T00:00:00.000Z
Woolfson Medical Center       ,83.6,75,2022-07-05T00:00:00.000Z
Rambam                        ,85.4,90.5,2022-07-05T00:00:00.000Z
Barzilai Medical Center       ,95.8,88.6,2022-07-05T00:00:00.000Z
Nahariya                      ,101.1,95.5,2022-07-05T00:00:00.000Z
Hillel Yaffeh Medical Center  ,104.8,96.1,2022-07-05T00:00:00.000Z
Assaf Harofeh Medical Center  ,105,77.4,2022-07-05T00:00:00.000Z
Hadassah Ein Kerem            ,106.8,95.9,2022-07-05T00:00:00.000Z
Rabin K. Beilinson            ,111.5,99.6,2022-07-05T00:00:00.000Z
      Ziv Hospital            ,117.2,86.5,2022-07-05T00:00:00.000Z
