age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,24.9,17.2,0,0,23.62,76.38,0
12-15,65.4,54.2,14,0,54.82,39.35,5.83
16-19,89.2,78,45.3,0.1,69.7,19.87,10.43
20-29,85.6,76.7,54.1,0.4,73.56,14.16,12.28
30-39,89,81.8,59.2,1.2,76.72,11.4,11.87
40-49,90.5,84.4,66.5,2,81.1,9.57,9.33
50-59,91,86.2,72.7,4,84.27,7.83,7.91
60-69,92.7,89.7,80.1,29,87.47,7.21,5.32
70-79,90.8,89.3,85.8,47.3,90.76,4.96,4.28
80-89,90.8,89,83.3,49.5,88.31,5.39,6.3
90+,84.4,81.6,75.7,47.4,82,5.79,12.21
