age_group,vaccinated_first_dose,vaccinated_second_dose,vaccinated_third_dose,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,100435,284,30,8.1,0,0,0.05,99.95,0
12-15,382726,306028,3729,60.2,48.1,0.6,58.51,41.47,0.02
16-19,519237,451808,212425,87.8,76.4,35.9,64.64,20.84,14.52
20-29,1113898,995198,663395,84.4,75.4,50.3,66.94,15.61,17.45
30-39,1062612,973902,670090,88,80.7,55.5,70.32,12.52,17.16
40-49,997316,926934,704179,89.8,83.4,63.4,76.4,10.46,13.14
50-59,791802,745919,611989,90.5,85.3,70,80.72,8.81,10.47
60-69,690033,663870,580207,92.3,88.8,77.6,85.66,7.6,6.73
70-79,477099,466693,439472,90.5,88.6,83.4,88.41,6.44,5.15
80-89,215893,210534,192325,90.4,88.2,80.6,85.38,7.38,7.24
90+,49146,47361,42169,83.7,80.7,71.9,75.87,11.23,12.9
