age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.2,17.7,0.2,0,1.2,79.6,19.1
12-15,65.7,54.7,14.9,0,3.2,44.3,52.5
16-19,89.3,78.3,46,0.2,3.5,22.9,73.6
20-29,85.6,77.1,54.8,0.9,4.3,13.2,82.5
30-39,89,82,59.7,2.1,5,10.5,84.5
40-49,90.6,84.7,67.1,3.5,5.4,9,85.6
50-59,91.2,86.6,73.3,7.3,6.5,6.5,87
60-69,93.2,90.3,80.9,34.1,6.4,7.6,86
70-79,92.1,90.7,87.4,54.7,6.5,3.5,90
80+,95.3,93.3,87.5,58.1,6,5.9,88.2
