period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,572,1825,10.7,34.14
3_Month,5-11,2742,10009,8.42,30.73
6_Month,5-11,3528,16958,3.48,16.72
1_Year,5-11,4662,51614,0.78,8.63
All,5-11,4662,52168,0.65,7.23
1_Month,12-15,320,396,14.23,17.61
3_Month,12-15,1765,2379,11.22,15.12
6_Month,12-15,2865,4229,5.88,8.68
1_Year,12-15,8639,18041,3.22,6.73
All,12-15,8650,18559,2.51,5.38
1_Month,16-19,850,256,24.24,7.3
3_Month,16-19,3304,1094,19.23,6.37
6_Month,16-19,4929,1853,10.69,4.02
1_Year,16-19,14450,10669,6.61,4.88
All,16-19,14543,11120,4.74,3.62
1_Month,20-29,2941,687,23.56,5.5
3_Month,20-29,10069,2797,18.73,5.2
6_Month,20-29,14958,4513,11.32,3.42
1_Year,20-29,36425,20694,7.57,4.3
All,20-29,36591,21487,5.63,3.31
1_Month,30-39,3317,889,22.12,5.93
3_Month,30-39,11491,3547,17.21,5.31
6_Month,30-39,16432,5391,10.3,3.38
1_Year,30-39,35333,19141,6.71,3.64
All,30-39,35484,19698,5.4,3
1_Month,40-49,2930,659,20.16,4.54
3_Month,40-49,10772,2704,15.98,4.01
6_Month,40-49,14969,4085,9.62,2.62
1_Year,40-49,31517,14045,6.58,2.93
All,40-49,31686,14428,5.36,2.44
1_Month,50-59,2254,412,15.97,2.92
3_Month,50-59,7660,1599,11.98,2.5
6_Month,50-59,10485,2409,7.96,1.83
1_Year,50-59,20436,7581,6.13,2.27
All,50-59,20549,7810,4.96,1.88
1_Month,60-69,1763,236,10.93,1.46
3_Month,60-69,5745,902,8.3,1.3
6_Month,60-69,7469,1313,5.99,1.05
1_Year,60-69,12940,3963,5.09,1.56
All,60-69,13041,4084,4.23,1.33
1_Month,70-79,1169,108,7.86,0.73
3_Month,70-79,3590,380,5.81,0.61
6_Month,70-79,4325,523,4.4,0.53
1_Year,70-79,6490,1248,3.96,0.76
All,70-79,6539,1312,3.41,0.68
1_Month,80+,966,110,10,1.14
3_Month,80+,2423,262,7.29,0.79
6_Month,80+,2870,347,5.75,0.7
1_Year,80+,4151,734,5,0.88
All,80+,4202,790,4.12,0.77
