age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,0,34,89,0,15.7,9.3,0,0,0,0,0,0
12-15,2,78,30,47.2,24.8,10.4,0,1,0,0,0.3,0
16-19,5,493,60,145.3,113.8,42.5,0,0,1,0,0,0.7
20-29,8,1011,101,72.5,90,61.9,0,0,0,0,0,0
30-39,25,728,112,147.7,69.2,91.4,1,1,1,5.9,0.1,0.8
40-49,53,887,90,223.4,90.3,97.9,0,1,1,0,0.1,1.1
50-59,72,928,76,194.7,118.8,159.9,0,11,2,0,1.4,4.2
60-69,244,1424,123,282.9,237.9,222.4,0,17,7,0,2.8,12.7
70-79,532,1298,120,402.5,339.1,3387.9,3,31,6,2.3,8.1,169.4
80+,599,1144,157,775.8,593.2,1948.4,6,36,8,7.8,18.7,99.3
