age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,355630,283850,635971,55.9,44.6,457,0.1
16-19,508923,439925,591331,86.1,74.4,178992,30.3
20-29,1093658,978114,1319364,82.9,74.1,589130,44.7
30-39,1049100,962109,1207243,86.9,79.7,609958,50.5
40-49,988192,918329,1110965,88.9,82.7,665370,59.9
50-59,786260,740129,874608,89.9,84.6,588640,67.3
60-69,686874,660130,747217,91.9,88.3,567410,75.9
70-79,475438,464653,526929,90.2,88.2,432243,82
80-89,215182,209509,238729,90.1,87.8,188884,79.1
90+,48929,47116,58687,83.4,80.3,41061,70
