age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,358692,290198,635971,56.4,45.6,480,0.1
16-19,511258,442641,591331,86.5,74.9,186090,31.5
20-29,1097406,980416,1319364,83.2,74.3,608054,46.1
30-39,1051590,963677,1207243,87.1,79.8,624404,51.7
40-49,989891,919426,1110965,89.1,82.8,674743,60.7
50-59,787363,740874,874608,90,84.7,594320,68
60-69,687442,660672,747217,92,88.4,570534,76.4
70-79,475759,464979,526929,90.3,88.2,433988,82.4
80-89,215320,209664,238729,90.2,87.8,189855,79.5
90+,48971,47156,58687,83.4,80.4,41390,70.5
