period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
3_Month,5-11,1196,34495,0.3,8.58
6_Month,5-11,1196,35629,0.24,7.11
1_Year,5-11,1196,36070,0.22,6.61
All,5-11,1196,36154,0.19,5.74
1_Month,5-11,827,23227,0.32,8.86
3_Month,12-15,5912,13255,3.07,6.89
1_Month,12-15,3591,6900,3.14,6.04
6_Month,12-15,5980,13972,2.7,6.3
1_Year,12-15,6001,14323,2.48,5.92
All,12-15,6001,14442,2,4.8
6_Month,16-19,9752,8803,5.59,5.05
All,16-19,9855,9299,3.73,3.52
1_Year,16-19,9847,9064,5.24,4.82
3_Month,16-19,9608,8100,6.25,5.27
1_Month,16-19,5145,3099,5.79,3.49
1_Month,20-29,11963,6046,6.93,3.5
All,20-29,22139,17055,4.22,3.25
1_Year,20-29,22128,16713,5.75,4.34
6_Month,20-29,21958,16194,6.26,4.62
3_Month,20-29,21549,14650,7.14,4.85
1_Month,30-39,11694,6403,5.76,3.16
All,30-39,19576,14408,3.87,2.85
1_Year,30-39,19570,14196,4.85,3.52
6_Month,30-39,19413,13814,5.23,3.72
3_Month,30-39,19074,12679,5.95,3.95
6_Month,40-49,17024,10017,5.19,3.05
All,40-49,17172,10413,3.87,2.34
1_Year,40-49,17160,10252,4.84,2.89
3_Month,40-49,16756,9350,5.73,3.2
1_Month,40-49,10050,4555,5.43,2.46
All,50-59,10321,5433,3.58,1.88
1_Year,50-59,10312,5308,4.64,2.39
1_Month,50-59,6082,2403,5.09,2.01
6_Month,50-59,10218,5214,4.99,2.55
3_Month,50-59,10076,4932,5.38,2.63
All,60-69,5687,2777,3.04,1.48
1_Year,60-69,5681,2718,3.95,1.89
1_Month,60-69,3136,1212,4.2,1.62
6_Month,60-69,5611,2671,4.26,2.03
3_Month,60-69,5541,2582,4.53,2.11
1_Month,70-79,1182,360,3.19,0.97
6_Month,70-79,2210,736,3.32,1.11
1_Year,70-79,2249,760,3.06,1.03
All,70-79,2254,794,2.37,0.83
3_Month,70-79,2164,711,3.49,1.15
1_Month,80-89,525,171,3.43,1.12
3_Month,80-89,947,303,3.91,1.25
6_Month,80-89,968,311,3.66,1.17
1_Year,80-89,988,318,3.31,1.07
All,80-89,998,346,2.42,0.84
1_Year,90+,364,82,4.55,1.02
1_Month,90+,172,46,4.14,1.11
3_Month,90+,343,77,5.3,1.19
6_Month,90+,350,79,4.93,1.11
All,90+,367,93,3.1,0.79
