instituteDesc,occupancy,gOccupancy,occupancyDate
,,,2022-10-28T00:00:00.000Z
Tel Aviv Medical Center       ,,,2022-10-28T00:00:00.000Z
,,,2022-10-28T00:00:00.000Z
Hadassah Mount Scopus         ,58.3,70.8,2022-10-28T00:00:00.000Z
Soroka Medical Center         ,58.5,72,2022-10-28T00:00:00.000Z
Rabin K. Hasharon             ,71.1,67.2,2022-10-28T00:00:00.000Z
Poriah Hospital               ,73.1,70.1,2022-10-28T00:00:00.000Z
Meir Hospital                 ,74,84.7,2022-10-28T00:00:00.000Z
Woolfson Medical Center       ,80.7,74.1,2022-10-28T00:00:00.000Z
      Ziv Hospital            ,81.3,71.5,2022-10-28T00:00:00.000Z
Yosephtal Hospital            ,81.3,38.5,2022-10-28T00:00:00.000Z
Barzilai Medical Center       ,83.9,82.9,2022-10-28T00:00:00.000Z
Shmuel Harofe                 ,86.1,80.1,2022-10-28T00:00:00.000Z
Bnei Ziom Medical Center      ,90.1,89.1,2022-10-28T00:00:00.000Z
Kaplan Hospital               ,90,87.3,2022-10-28T00:00:00.000Z
Assaf Harofeh Medical Center  ,90.7,73.2,2022-10-28T00:00:00.000Z
Nahariya                      ,91.1,85.9,2022-10-28T00:00:00.000Z
Hadassah Ein Kerem            ,97.1,93.9,2022-10-28T00:00:00.000Z
Assuta Ashdod                 ,127.1,110.6,2022-10-28T00:00:00.000Z
,,,2022-10-28T00:00:00.000Z
Hacarmel Hospital             ,,,2022-10-28T00:00:00.000Z
Laniado                       ,93.6,93.3,2022-10-28T00:00:00.000Z
Hillel Yaffeh Medical Center  ,96.6,86.8,2022-10-28T00:00:00.000Z
Haemek Valley Center Hospital ,,,2022-10-28T00:00:00.000Z
The Holy Family               ,,,2022-10-28T00:00:00.000Z
,,,2022-10-28T00:00:00.000Z
Mayanei Hayeshua              ,,,2022-10-28T00:00:00.000Z
,,,2022-10-28T00:00:00.000Z
Rabin K. Beilinson            ,117.6,98.2,2022-10-28T00:00:00.000Z
Rambam                        ,,,2022-10-28T00:00:00.000Z
Chaim Sheba Medical Center    ,108.8,109.8,2022-10-28T00:00:00.000Z
Shaare Zedek                  ,,,2022-10-28T00:00:00.000Z
