age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,323979,240924,635971,50.9,37.9,249,0
16-19,489572,421932,591331,82.8,71.4,106333,18
20-29,1061033,959986,1319364,80.4,72.8,360117,27.3
30-39,1025081,947593,1207243,84.9,78.5,413116,34.2
40-49,970449,906202,1110965,87.4,81.6,518529,46.7
50-59,775618,731530,874608,88.7,83.6,502596,57.5
60-69,681818,654617,747217,91.2,87.6,525359,70.3
70-79,473266,461427,526929,89.8,87.6,412979,78.4
80-89,214196,208278,238729,89.7,87.2,180289,75.5
90+,48695,46840,58687,83,79.8,38717,66
