age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,316783,225917,635971,49.8,35.5,211,0
16-19,486500,417412,591331,82.3,70.6,89601,15.2
20-29,1057656,957069,1319364,80.2,72.5,309550,23.5
30-39,1022420,944978,1207243,84.7,78.3,371021,30.7
40-49,968451,904084,1110965,87.2,81.4,484589,43.6
50-59,774534,730022,874608,88.6,83.5,484219,55.4
60-69,681265,653499,747217,91.2,87.5,517040,69.2
70-79,473009,460812,526929,89.8,87.5,408978,77.6
80-89,214080,208021,238729,89.7,87.1,178592,74.8
90+,48669,46790,58687,82.9,79.7,38272,65.2
