age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,638,0,1144,220.3,,124.5,0,0,1,0,,0.1
12-15,408,176,271,142.9,210.2,108.2,0,0,0,0,0,0
16-19,763,112,207,198.2,147.7,175.5,1,0,1,0.3,0,0.8
20-29,2459,242,582,256.5,152.1,327.2,0,0,1,0,0,0.6
30-39,3247,278,720,353,206.2,543.6,2,1,4,0.2,0.7,3
40-49,3007,186,579,335.9,188.2,566.4,6,2,3,0.7,2,2.9
50-59,2437,135,489,331.8,199.5,767.8,9,0,10,1.2,0,15.7
60-69,3806,127,576,585.1,327.9,1076.6,35,2,7,5.4,5.2,13.1
70-79,3189,78,410,661.5,352.5,2057.3,36,2,7,7.5,9,35.1
80-89,1558,63,226,727.8,424.1,2992.6,34,2,11,15.9,13.5,145.7
90+,523,19,66,1028,261.5,,24,3,8,47.2,41.3,
