instituteDesc,occupancy,gOccupancy,occupancyDate
Yosephtal Hospital            ,56.3,49.2,2022-08-24T00:00:00.000Z
Rabin K. Hasharon             ,64,61,2022-08-24T00:00:00.000Z
Poriah Hospital               ,69.2,81.4,2022-08-24T00:00:00.000Z
Hacarmel Hospital             ,70.8,74.4,2022-08-24T00:00:00.000Z
Hadassah Mount Scopus         ,72.2,71.9,2022-08-24T00:00:00.000Z
Meir Hospital                 ,72.5,80.2,2022-08-24T00:00:00.000Z
Soroka Medical Center         ,73.6,79.4,2022-08-24T00:00:00.000Z
Woolfson Medical Center       ,76.6,74.7,2022-08-24T00:00:00.000Z
Haemek Valley Center Hospital ,77.4,69.5,2022-08-24T00:00:00.000Z
Assaf Harofeh Medical Center  ,79.9,67.6,2022-08-24T00:00:00.000Z
Chaim Sheba Medical Center    ,87.4,101.6,2022-08-24T00:00:00.000Z
      Ziv Hospital            ,90.6,74.1,2022-08-24T00:00:00.000Z
Bnei Ziom Medical Center      ,91.7,83.6,2022-08-24T00:00:00.000Z
Hillel Yaffeh Medical Center  ,91.8,85.8,2022-08-24T00:00:00.000Z
Laniado                       ,93.6,102.8,2022-08-24T00:00:00.000Z
Nahariya                      ,98.9,90.4,2022-08-24T00:00:00.000Z
Barzilai Medical Center       ,99.5,88.9,2022-08-24T00:00:00.000Z
Kaplan Hospital               ,100,82.5,2022-08-24T00:00:00.000Z
Rambam                        ,101,89.6,2022-08-24T00:00:00.000Z
Shmuel Harofe                 ,102.8,83.9,2022-08-24T00:00:00.000Z
Hadassah Ein Kerem            ,120.4,98.3,2022-08-24T00:00:00.000Z
Rabin K. Beilinson            ,130,98.5,2022-08-24T00:00:00.000Z
