age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.2,17.7,0.2,0,0.9,79.8,19.3
12-15,65.7,54.7,15,0,2.3,44.5,53.2
16-19,89.3,78.3,46,0.2,2.5,23,74.5
20-29,85.6,77.1,54.8,0.9,3.2,13.2,83.6
30-39,89,82,59.7,2.1,3.8,10.5,85.7
40-49,90.6,84.7,67.1,3.5,4.1,8.9,87
50-59,91.2,86.6,73.3,7.3,5.1,6.5,88.4
60-69,93.2,90.3,80.9,34.1,5.5,7.6,86.9
70-79,92.1,90.7,87.4,54.7,5.8,3.3,90.9
80+,95.3,93.3,87.5,58.1,5.1,5.8,89
