age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.2,17.7,0.2,0,0.6,80,19.4
12-15,65.7,54.7,15,0,1.5,44.9,53.7
16-19,89.3,78.3,46,0.2,1.3,23.1,75.6
20-29,85.6,77.1,54.8,0.9,1.8,13.1,85
30-39,89,82,59.8,2.1,2.1,10.5,87.5
40-49,90.6,84.8,67.1,3.5,2.4,8.9,88.7
50-59,91.2,86.6,73.3,7.3,3.5,6.4,90.1
60-69,93.2,90.3,80.9,34.2,4.4,7.6,88
70-79,92.1,90.7,87.4,54.7,4.8,3,92.2
80+,95.3,93.3,87.6,58.1,4.1,5.7,90.1
