period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,307,3911,0.72,9.21
3_Month,5-11,1401,36538,0.33,8.7
6_Month,5-11,1401,37151,0.3,7.88
1_Year,5-11,1401,38196,0.25,6.87
All,5-11,1401,38294,0.21,5.86
1_Month,12-15,609,1002,3.17,5.21
3_Month,12-15,6254,13755,3.09,6.81
6_Month,12-15,6288,14025,2.92,6.52
1_Year,12-15,6352,14859,2.58,6.03
All,12-15,6352,14996,2.04,4.81
1_Month,16-19,834,330,5.34,2.11
3_Month,16-19,10085,8278,6.2,5.09
6_Month,16-19,10123,8532,5.94,5.01
1_Year,16-19,10330,9237,5.37,4.8
All,16-19,10339,9497,3.78,3.47
1_Month,20-29,2034,708,6.1,2.12
3_Month,20-29,22816,15015,7.08,4.66
6_Month,20-29,22979,15662,6.76,4.61
1_Year,20-29,23412,17075,5.94,4.33
All,20-29,23428,17471,4.29,3.2
1_Month,30-39,2047,712,5.06,1.76
3_Month,30-39,20254,13038,5.88,3.79
6_Month,30-39,20416,13575,5.6,3.72
1_Year,30-39,20765,14551,4.97,3.48
All,30-39,20787,14812,3.91,2.79
1_Month,40-49,1766,536,4.63,1.4
3_Month,40-49,17778,9616,5.64,3.05
6_Month,40-49,17910,9922,5.44,3.01
1_Year,40-49,18200,10522,4.9,2.83
All,40-49,18225,10711,3.89,2.29
1_Month,50-59,1158,297,4.39,1.13
3_Month,50-59,10789,5108,5.29,2.51
6_Month,50-59,10851,5236,5.16,2.49
1_Year,50-59,11023,5475,4.69,2.33
All,50-59,11046,5617,3.62,1.84
1_Month,60-69,598,158,3.29,0.87
3_Month,60-69,5908,2673,4.41,1.99
6_Month,60-69,5938,2718,4.31,1.97
1_Year,60-69,6045,2805,3.93,1.82
All,60-69,6063,2873,3.05,1.44
1_Month,70-79,223,62,2.14,0.59
3_Month,70-79,2311,740,3.35,1.07
6_Month,70-79,2337,755,3.3,1.07
1_Year,70-79,2394,786,3.01,0.99
All,70-79,2404,824,2.35,0.81
1_Month,80-89,116,28,2.94,0.71
3_Month,80-89,1021,322,3.81,1.2
6_Month,80-89,1027,329,3.71,1.19
1_Year,80-89,1061,338,3.32,1.06
All,80-89,1074,367,2.45,0.84
1_Month,90+,34,8,3.47,0.82
3_Month,90+,361,81,5.09,1.14
6_Month,90+,364,81,4.96,1.1
1_Year,90+,380,85,4.49,1
All,90+,386,96,3.1,0.77
