age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25,17.5,0,0,24.22,75.78,0
12-15,65.5,54.4,14.3,0,51.94,39.8,8.26
16-19,89.3,78.1,45.6,0.1,69.05,20.08,10.87
20-29,85.6,76.9,54.4,0.6,74.19,13.91,11.9
30-39,89.1,81.9,59.4,1.5,77.56,11.26,11.18
40-49,90.6,84.5,66.7,2.6,81.73,9.41,8.86
50-59,91.1,86.3,72.9,5.2,84.81,7.55,7.64
60-69,92.8,89.8,80.2,30.2,87.75,7.12,5.12
70-79,90.9,89.4,85.9,48.9,91.6,4.25,4.15
80-89,90.8,89,83.4,51.1,89.06,4.81,6.13
90+,84.4,81.7,76.1,49.3,83.81,4.1,12.09
