instituteDesc,occupancy,gOccupancy,occupancyDate
Soroka Medical Center         ,70.9,79.2,2022-07-31T00:00:00.000Z
Hacarmel Hospital             ,73.6,87.9,2022-07-31T00:00:00.000Z
Assaf Harofeh Medical Center  ,76.4,74.2,2022-07-31T00:00:00.000Z
Woolfson Medical Center       ,78.7,82,2022-07-31T00:00:00.000Z
Shmuel Harofe                 ,80.6,82.7,2022-07-31T00:00:00.000Z
Hillel Yaffeh Medical Center  ,86.3,82.5,2022-07-31T00:00:00.000Z
Haemek Valley Center Hospital ,95.5,75.4,2022-07-31T00:00:00.000Z
,,35.4,2022-07-31T00:00:00.000Z
Rambam                        ,86.9,89.5,2022-07-31T00:00:00.000Z
Shaare Zedek                  ,90.7,97.9,2022-07-31T00:00:00.000Z
Nahariya                      ,95.3,82.2,2022-07-31T00:00:00.000Z
