age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,96,236,830,156.1,123,88.9,0,0,0,0,0,0
12-15,29,283,187,49.5,98.4,69.6,0,0,0,0,0,0
16-19,29,667,156,48.1,171.7,118.2,0,0,0,0,0,0
20-29,126,2373,571,88.3,240.9,329.8,0,4,2,0,0.4,1.2
30-39,149,2710,614,96.5,296.5,488,1,3,1,0.6,0.3,0.8
40-49,210,2745,484,143.4,321.2,488.7,0,3,1,0,0.4,1
50-59,278,2867,358,225.3,418.2,618.5,1,9,2,0.8,1.3,3.5
60-69,620,6242,497,712.8,1045.8,871.8,5,27,11,5.7,4.5,19.3
70-79,750,6440,393,1264.9,1465.3,1964.5,7,55,14,11.8,12.5,70
80+,686,4996,504,2306,2155.1,3000,19,91,31,63.9,39.3,184.5
