age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.2,17.7,0.2,0,5.2,78.6,16.2
12-15,65.6,54.6,14.9,0,9.5,43.7,46.8
16-19,89.3,78.2,46,0.2,10.4,22.7,66.9
20-29,85.6,77.1,54.7,0.8,11,13.3,75.7
30-39,88.9,82,59.7,2,12.9,10.5,76.5
40-49,90.6,84.7,67.1,3.5,13.3,9,77.7
50-59,91.2,86.6,73.3,7.2,14.2,6.7,79.1
60-69,93.2,90.3,80.8,34,11.7,7.7,80.6
70-79,92.1,90.7,87.4,54.6,11.4,3.9,84.7
80+,95.3,93.2,87.5,58,10.7,6,83.3
