period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,1543,5937,8.03,30.88
3_Month,5-11,1938,7959,5.95,24.42
6_Month,5-11,3558,45803,0.78,9.98
1_Year,5-11,3604,48322,0.59,7.95
All,5-11,3604,48630,0.51,6.84
1_Month,12-15,1063,1511,10.84,15.4
3_Month,12-15,1412,2029,8.38,12.04
6_Month,12-15,7713,15826,3.51,7.21
1_Year,12-15,8068,17481,2.97,6.44
All,12-15,8068,17820,2.37,5.23
1_Month,16-19,1687,629,17.47,6.51
3_Month,16-19,2188,831,14.33,5.44
6_Month,16-19,12299,8872,6.79,4.9
1_Year,16-19,13049,10415,5.99,4.78
All,16-19,13067,10701,4.35,3.56
1_Month,20-29,4884,1487,17.34,5.28
3_Month,20-29,6359,1986,13.7,4.28
6_Month,20-29,30062,16748,7.78,4.33
1_Year,20-29,31769,19837,6.71,4.19
All,20-29,31808,20301,5.06,3.23
1_Month,30-39,5509,1870,15.59,5.29
3_Month,30-39,7204,2440,11.85,4.01
6_Month,30-39,28667,15649,6.67,3.64
1_Year,30-39,29848,17841,5.79,3.46
All,30-39,29911,18170,4.74,2.88
1_Month,40-49,5486,1402,15.1,3.86
3_Month,40-49,6983,1877,11.34,3.05
6_Month,40-49,25614,11595,6.41,2.9
1_Year,40-49,26742,13011,5.72,2.78
All,40-49,26820,13254,4.73,2.34
1_Month,50-59,3707,849,10.92,2.5
3_Month,50-59,4812,1095,8.55,1.95
6_Month,50-59,16196,6319,5.78,2.25
1_Year,50-59,16854,6955,5.29,2.18
All,50-59,16908,7123,4.33,1.82
1_Month,60-69,2701,442,7.55,1.24
3_Month,60-69,3527,591,5.98,1
6_Month,60-69,9842,3324,4.68,1.58
1_Year,60-69,10198,3579,4.35,1.53
All,60-69,10235,3671,3.64,1.31
1_Month,70-79,1604,181,5.09,0.57
3_Month,70-79,2055,240,4.1,0.48
6_Month,70-79,4503,1008,3.44,0.77
1_Year,70-79,4677,1080,3.26,0.75
All,70-79,4698,1131,2.81,0.68
1_Month,80+,942,103,6.04,0.66
3_Month,80+,1214,148,4.99,0.61
6_Month,80+,2661,556,4.21,0.88
1_Year,80+,2758,595,3.92,0.85
All,80+,2789,641,3.21,0.74
