age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.1,17.7,0.1,0,16.4,77.2,6.5
12-15,65.6,54.6,14.8,0,27.8,42.8,29.4
16-19,89.3,78.2,45.9,0.2,26.8,22.4,50.8
20-29,85.6,77,54.7,0.8,24.2,13.4,62.4
30-39,88.9,81.9,59.7,2,27.2,10.6,62.2
40-49,90.5,84.7,67,3.4,28.1,9.1,62.8
50-59,91.2,86.5,73.3,7.1,28,6.9,65.2
60-69,93.1,90.3,80.8,33.8,46.4,7.8,45.8
70-79,92,90.6,87.3,54.3,60.8,4.4,34.7
80+,95.3,93.2,87.5,57.8,62.1,6.2,31.7
