instituteDesc,occupancy,gOccupancy,occupancyDate
Bnei Ziom Medical Center      ,60.3,76.4,2022-07-08T00:00:00.000Z
Soroka Medical Center         ,60.1,74.6,2022-07-08T00:00:00.000Z
Hacarmel Hospital             ,66,76.3,2022-07-08T00:00:00.000Z
      Ziv Hospital            ,67.2,66.9,2022-07-08T00:00:00.000Z
Laniado                       ,67.9,75.2,2022-07-08T00:00:00.000Z
Poriah Hospital               ,70.5,76.9,2022-07-08T00:00:00.000Z
Hadassah Mount Scopus         ,72.2,73.3,2022-07-08T00:00:00.000Z
Haemek Valley Center Hospital ,75.5,69.4,2022-07-08T00:00:00.000Z
Shmuel Harofe                 ,75,80.1,2022-07-08T00:00:00.000Z
Barzilai Medical Center       ,76.6,81.8,2022-07-08T00:00:00.000Z
Hillel Yaffeh Medical Center  ,76.7,78.8,2022-07-08T00:00:00.000Z
Meir Hospital                 ,76,86.4,2022-07-08T00:00:00.000Z
Shaare Zedek                  ,78,98.8,2022-07-08T00:00:00.000Z
Yosephtal Hospital            ,81.3,43.1,2022-07-08T00:00:00.000Z
Rambam                        ,82.3,86,2022-07-08T00:00:00.000Z
Woolfson Medical Center       ,83.6,71.3,2022-07-08T00:00:00.000Z
Nahariya                      ,83.2,87.9,2022-07-08T00:00:00.000Z
Kaplan Hospital               ,88,92.6,2022-07-08T00:00:00.000Z
Hadassah Ein Kerem            ,95.1,90.7,2022-07-08T00:00:00.000Z
Assaf Harofeh Medical Center  ,96.5,72,2022-07-08T00:00:00.000Z
Rabin K. Beilinson            ,98.7,90.3,2022-07-08T00:00:00.000Z
