age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,2350,0,2993,806.2,,326.7,0,0,2,0,,0.2
12-15,1505,678,677,490.5,1047.9,273,1,0,0,0.3,0,0
16-19,2797,333,338,708.5,496.2,289.5,1,1,0,0.3,1.5,0
20-29,9464,683,890,985.3,439.8,496,1,0,1,0.1,0,0.6
30-39,7637,707,972,829.3,531.7,729.8,5,3,4,0.5,2.3,3
40-49,7604,450,723,848.7,462,703.5,5,1,5,0.6,1,4.9
50-59,6155,246,590,837.6,369.5,915.3,11,1,14,1.5,1.5,21.7
60-69,5380,187,501,825.2,489.5,951.8,38,6,15,5.8,15.7,28.5
70-79,3731,102,366,775,465.8,1755.6,48,3,21,10,13.7,100.7
80-89,1473,63,216,698.3,433.3,1964.9,43,8,17,20.4,55,154.6
90+,346,20,68,717.4,287.4,3305.8,9,4,12,18.7,57.5,583.4
