age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25,17.5,0,0,24.13,75.87,0
12-15,65.5,54.4,14.3,0,49.52,40.03,10.45
16-19,89.3,78.1,45.6,0.1,68.22,20.18,11.6
20-29,85.7,77,54.5,0.6,74.15,13.85,11.99
30-39,89.1,82,59.5,1.6,77.57,11.22,11.21
40-49,90.6,84.6,66.8,2.7,81.73,9.38,8.89
50-59,91.1,86.3,72.9,5.5,84.86,7.45,7.69
60-69,92.8,89.8,80.2,30.6,87.77,7.09,5.15
70-79,90.9,89.4,86,49.3,91.84,3.98,4.18
80-89,90.8,89.1,83.5,51.4,89.2,4.65,6.15
90+,84.4,81.8,76.1,49.5,84.25,3.59,12.15
