age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.2,17.8,0.2,0,0.31,81.28,18.41
12-15,65.7,54.7,15,0,0.77,47.38,51.85
16-19,89.3,78.3,46,0.2,0.62,24.34,75.04
20-29,85.7,77.2,54.8,0.9,0.86,12.59,86.55
30-39,89,82.1,59.8,2.1,1.43,10.25,88.32
40-49,90.6,84.8,67.1,3.6,2.17,8.41,89.42
50-59,91.3,86.6,73.4,7.4,4.25,5.5,90.25
60-69,93.2,90.4,80.9,34.2,11.48,7.3,81.22
70-79,92.1,90.7,87.4,54.8,24.95,0.55,74.5
80+,95.3,93.3,87.6,58.2,26.99,4.5,68.5
