age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,0,33,109,0,15.2,11.4,0,0,0,0,0,0
12-15,3,73,37,64.5,23.2,12.9,0,0,0,0,0,0
16-19,6,533,68,166.6,122.9,48.3,0,1,1,0,0.2,0.7
20-29,11,1072,112,98.1,95.4,68.6,0,0,0,0,0,0
30-39,35,814,123,206.1,77.4,100.7,0,1,1,0,0.1,0.8
40-49,43,963,109,180.4,98.1,118,0,0,2,0,0,2.2
50-59,84,923,84,228.1,118.1,176.4,0,7,2,0,0.9,4.2
60-69,273,1573,126,321.3,261.6,233.2,0,13,5,0,2.2,9.3
70-79,517,1501,114,399.7,388.6,3962.5,4,33,4,3.1,8.5,139
80+,594,1248,185,791.1,654.9,1476.3,7,51,10,9.3,26.8,79.8
